,datetime,tweetid,text,username,userid,value
797,Fri Apr 07 14:16:02 +0000 2017,8.50351463352209E+017,@konsensuseliten Har du läst ngt konfirmerat om skottlossning? Bara rykten väl?,Jack in The Box,157776410,pos
798,Fri Apr 07 14:14:20 +0000 2017,8.5035103817141E+017,"@cyphersushi Expressen brassar på med ""fem döda och skottlossning"" herregud snacka om att spä på paniken.",textbaserad livsform,31373715,none
799,Fri Apr 07 14:42:12 +0000 2017,8.5035805028848E+017,#PrayForStockholm ingen bryr sig när fem dör i skottlossning i malmö men alla bli skit rädda när två för i Stockholm. Så jävla töntigt!!!😪,Erik Dahlquist,2364353716,pos
800,Fri Apr 07 14:41:57 +0000 2017,8.50357986971267E+017,@YeyoZa Har sett flera uppgifter från tidningsredaktioner om att polisen bekräftat skottlossning på Fridhemsplan bl.a. Vad gäller?,Carl Ådahl,16309440,pos
801,Fri Apr 07 14:41:50 +0000 2017,8.50357955472097E+017,Finns det någon trovärdig förstahandsinformation om skottlossning i Stockholm? Ser uppgifter fladdra förbi men polisen nämner det inte.,Dag Oredsson,19703795,pos
802,Fri Apr 07 14:41:44 +0000 2017,8.50357932571099E+017,Nån som är i Mall of Scandinavia och som kan bekräfta / dementera skottlossning? #Stockholm,Andréas Göransson,709769851,neg
803,Fri Apr 07 14:42:00 +0000 2017,8.50357998291735E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Gustav Svärd,165788474,neg
804,Fri Apr 07 14:41:42 +0000 2017,8.50357925101097E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Andreas Roback,367636045,neg
805,Fri Apr 07 14:41:42 +0000 2017,8.50357923607917E+017,RT @niklassvensson: Polisen bekräftar för Expressen att skottlossning har ägt rum vid Hötorget,malin,8.2359918980438E+017,pos
806,Fri Apr 07 14:41:09 +0000 2017,8.50357787146301E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Rikard Linde,13163762,neg
807,Fri Apr 07 14:41:01 +0000 2017,8.50357752488755E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Tommy Bjolin,246969561,neg
808,Fri Apr 07 14:40:31 +0000 2017,8.50357626319798E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Perrr,25532481,neg
809,Fri Apr 07 14:40:26 +0000 2017,8.50357605105119E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Maria,1045477927,neg
810,Fri Apr 07 14:42:59 +0000 2017,8.50358246439366E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Eco Pedicab PVD,3065822776,pos
811,Fri Apr 07 14:56:55 +0000 2017,8.50361752642564E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",Mats Erkki Huhtamaa❄,250360427,neg
812,Fri Apr 07 14:54:21 +0000 2017,8.50361106484867E+017,RT @TobiasSkoldborg: Skottlossning vid Fridhemsplan DEMENTERAT av polisen. enl SVT,Andreas,25127292,neg
813,Fri Apr 07 14:53:57 +0000 2017,8.50361006618534E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",Jenny Berg,2863988319,neg
814,Fri Apr 07 14:53:37 +0000 2017,8.50360920685588E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Tove Dahlgren,2804282131,neg
815,Fri Apr 07 14:53:17 +0000 2017,8.5036083799493E+017,"RT @Ivarpi: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Birgit Hedenslog,226958054,neg
816,Fri Apr 07 14:52:10 +0000 2017,8.50360557995741E+017,"RT @Expressen: Polisen bekräftar skottlossning vid Hötorget och vid Åhlens, enligt uppgifter till Expressen.
https://t.co/YSDkE6sHHD https:…",Brexit Power,7.87369133860094E+017,pos
817,Fri Apr 07 14:51:47 +0000 2017,8.50360459849073E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Emil Johansson,47982523,neg
818,Fri Apr 07 14:51:32 +0000 2017,8.50360398163456E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Towe Varland,27452219,neg
819,Fri Apr 07 14:43:29 +0000 2017,8.50358373581292E+017,"RT @MacDBollinger: Jag har mer bekräftad info av helt säkra källor om utplacerad bomb, skjutning inne på Åhléns o skjutning på fler platser…",Jonas Roth,8.20965186983105E+017,pos
820,Fri Apr 07 14:53:25 +0000 2017,8.5036087066436E+017,"Så många uppgifter som florerar just nu. Gripna inte gripna, skottlossning ingen skottlossning. #stockholmattack",Besudlad sekatör,19390266,pos
821,Fri Apr 07 14:57:52 +0000 2017,8.50361993919959E+017,Polisen dementerar skottlossning vid Fridhemsplan. Tänk på att inte sprida obekräftade rykten för det späder på allas oro.,Häxan,456000467,neg
